WORDS,FREQ
confident,1.0
confront,2.0
consensus,4.0
consider,29.0
consistently,4.0
constant,4.0
consumer,1.0
contact,6.0
contain,2.0
content,4.0
continent,4.0
convey,18.0
convince,4.0
cope,4.0
corporate,6.0
cost,3.0
could,4.0
country,1.0
course,2.0
cover,26.0
covet,2.0
coveted,2.0
craft,4.0
crave,2.0
crazy,50.0
create,6.0
creation,4.0
credential,4.0
critical,2.0
cross,1.0
crowfunding,2.0
crucial,4.0
cry,2.0
cucumber,1.0
culture,2.0
curious,2.0
current,12.0
currently,8.0
customer,4.0
customize,2.0
cut,5.0
data,16.0
database,1.0
dauphine,4.0
day,2.0
db,1.0
dbldn,2.0
de,2.0
deadline,2.0
dear,12.0
decide,6.0
decine,2.0
dedicate,4.0
dedication,4.0
deep,12.0
deepen,2.0
def,1.0
define,4.0
degree,7.0
delivering,4.0
demonstrate,6.0
department,36.0
derivative,8.0
description,2.0
design,1.0
detail,2.0
detection,2.0
deutsche,30.0
develop,10.0
developer,33.0
development,19.0
different,9.0
difficulty,2.0
digital,2.0
dipl,2.0
discover,2.0
discussion,8.0
disposal,4.0
diversity,4.0
division,4.0
dl,2.0
do,2.0
doctorate,2.0
document,3.0
docx,2.0
domain,1.0
doubt,2.0
downloaded,16.0
draw,16.0
drive,1.0
driven,12.0
duality,4.0
duty,2.0
e,8.0
earlier,4.0
early,2.0
economic,3.0
ecosystem,5.0
edge,3.0
editor,1.0
effective,1.0
efficiency,12.0
effort,2.0
email,4.0
embryology,2.0
emotion,4.0
employment,2.0
end,3.0
engage,4.0
engineer,1.0
engineering,6.0
ensure,13.0
enter,4.0
enterprise,1.0
enthusiasm,4.0
entirety,2.0
entrepreneurship,2.0
environment,11.0
equipment,1.0
equity,8.0
especially,12.0
essential,6.0
even,6.0
evening,2.0
eventually,53.0
ever,2.0
every,3.0
everything,1.0
example,8.0
excellence,9.0
excellent,4.0
excite,1.0
excited,1.0
excitement,18.0
executive,3.0
exotic,4.0
expand,4.0
experience,78.0
explain,2.0
extraction,4.0
eye,1.0
f,4.0
fabien,14.0
facial,4.0
fact,1.0
familiar,1.0
far,2.0
fatality,2.0
favourable,4.0
feedback,1.0
feel,9.0
fellow,1.0
feverish,1.0
field,10.0
fielding,1.0
finance,6.0
financial,16.0
find,1.0
fine,1.0
finish,1.0
firm,4.0
first,17.0
fit,5.0
five,5.0
fix,1.0
floor,4.0
focus,17.0
focusing,2.0
follow,4.0
following,2.0
forget,1.0
formascience,2.0
forward,4.0
four,13.0
framework,3.0
france,2.0
free,5.0
french,2.0
front,1.0
full,1.0
fully,2.0
fun,18.0
functional,2.0
future,61.0
g,2.0
gain,5.0
game,33.0
generale,4.0
genetics,2.0
geneva,2.0
geospatial,2.0
get,91.0
github,8.0
give,6.0
glad,2.0
global,6.0
gmail,6.0
go,3.0
goal,26.0
good,9.0
grab,2.0
graduate,15.0
graduation,1.0
graph,8.0
gratify,4.0
great,4.0
group,71.0
grow,1.0
growth,6.0
guideline,2.0
guy,1.0
gynecology,2.0
hand,1.0
handle,18.0
happy,177.0
happyafter,1.0
hard,56.0
health,13.0
healthcare,14.0
hear,2.0
hec,2.0
hello,106.0
hellohello,11.0
help,3.0
hesitate,2.0
high,6.0
highlight,2.0
highly,14.0
hiring,6.0
home,3.0
honesty,4.0
honour,4.0
hope,6.0
hospital,2.0
hour,1.0
hr,1.0
html,1.0
http,8.0
https,2.0
huge,1.0
humaine,2.0
humility,6.0
hundred,4.0
hybrid,2.0
idea,4.0
illustrate,4.0
impact,5.0
implement,14.0
important,7.0
importantly,2.0
impress,4.0
improve,2.0
improvement,1.0
incident,1.0
include,7.0
increase,2.0
increasingly,2.0
incredible,2.0
independently,1.0
index,1.0
individual,4.0
individually,16.0
industry,3.0
information,4.0
infrastructure,2.0
innovate,2.0
innovation,8.0
input,2.0
inspire,4.0
instance,4.0
institution,5.0
instructor,2.0
insurance,4.0
intellectual,4.0
intensive,2.0
interact,8.0
interest,6.0
interested,2.0
intern,5.0
internship,20.0
interpersonal,4.0
intership,2.0
intervene,50.0
interview,6.0
interviewer,50.0
intrinsic,4.0
introduce,2.0
involve,5.0
io,24.0
issue,2.0
j,2.0
jaanu,1.0
jail,1.0
java,1.0
jdbc,1.0
ji,2.0
job,27.0
john,2.0
join,8.0
joined,2.0
journey,2.0
junit,1.0
keep,6.0
kera,2.0
key,4.0
ki,4.0
kingdom,2.0
know,7.0
knowledge,9.0
l,6.0
laboratory,2.0
land,2.0
landmark,2.0
language,3.0
large,2.0
last,125.0
lastly,1.0
late,1.0
lately,16.0
launch,2.0
lausanne,8.0
lead,142.0
leadership,4.0
leading,12.0
learn,17.0
learner,2.0
learning,21.0
least,4.0
leave,8.0
lecture,4.0
lederman,6.0
lesson,2.0
let,2.0
letter,22.0
letterpe,2.0
lettersummer,2.0
lettrepe,6.0
level,4.0
leverage,2.0
life,4.0
lifecycle,1.0
lifelong,1.0
like,14.0
lionel,4.0
list,2.0
loan,1.0
logistics,1.0
london,10.0
long,4.0
look,55.0
loomky,4.0
lose,1.0
loss,1.0
lot,20.0
loud,18.0
love,2.0
m,4.0
machine,6.0
madam,6.0
mailto,4.0
main,3.0
maintain,5.0
make,22.0
man,2.0
manage,15.0
management,15.0
manager,6.0
mandatory,4.0
manual,1.0
many,7.0
mark,1.0
market,27.0
marketing,1.0
master,10.0
match,4.0
mathematical,2.0
matter,2.0
maximum,4.0
may,4.0
md,2.0
measurable,2.0
medical,20.0
medicine,2.0
meet,250.0
member,6.0
memoir,2.0
message,2.0
method,3.0
microsoft,2.0
migrate,3.0
mind,1.0
mindedness,4.0
mine,2.0
minute,2.0
miss,3.0
mistake,2.0
mobile,16.0
model,2.0
modeling,2.0
molest,1.0
moment,50.0
monitor,16.0
month,8.0
motivate,2.0
move,6.0
much,8.0
multidisciplinary,2.0
multimodal,2.0
music,4.0
mutual,4.0
myblog,6.0
n,6.0
name,4.0
natural,2.0
need,1.0
never,3.0
new,21.0
next,4.0
nice,241.0
nlp,2.0
non,2.0
nosql,2.0
nothing,50.0
nuance,1.0
number,2.0
numerous,4.0
observer,4.0
obstetrics,2.0
obtain,8.0
october,4.0
offer,3.0
office,16.0
officer,1.0
oncology,2.0
one,38.0
open,4.0
operation,3.0
opportunity,19.0
oracle,1.0
orchestra,4.0
order,4.0
orderly,1.0
organisation,1.0
organise,1.0
orient,1.0
otcex,4.0
outcome,32.0
outlook,4.0
outside,8.0
outstanding,4.0
overall,4.0
oversee,12.0
p,4.0
page,1.0
paris,14.0
paristech,6.0
part,44.0
particular,4.0
passion,5.0
past,2.0
patient,24.0
patrol,1.0
pause,50.0
people,16.0
perceive,2.0
perform,4.0
performance,6.0
performer,1.0
perrin,4.0
person,2.0
personal,14.0
phd,6.0
phone,4.0
piece,1.0
place,2.0
plan,3.0
platform,4.0
play,18.0
playing,18.0
please,6.0
pleasure,4.0
point,54.0
poor,4.0
portfolio,4.0
position,13.0
positive,3.0
possible,1.0
post,2.0
postman,1.0
practice,1.0
precise,4.0
precision,1.0
preferred,2.0
prepare,2.0
present,6.0
presentation,4.0
press,1.0
pressure,5.0
prestigious,1.0
pretend,2.0
pretty,1.0
previous,1.0
proactive,1.0
proactively,1.0
procedure,12.0
process,1.0
processing,4.0
product,6.0
productivity,2.0
profession,4.0
professional,5.0
proficient,1.0
program,24.0
programme,4.0
programming,50.0
progress,20.0
project,168.0
promising,4.0
protocol,12.0
proud,1.0
provide,6.0
public,2.0
publication,1.0
purpose,1.0
pursue,7.0
pursuit,4.0
push,1.0
put,4.0
qa,1.0
qualify,2.0
quality,12.0
quantitative,2.0
question,18.0
quick,1.0
r,6.0
raj,1.0
ral,2.0
randi,1.0
rank,8.0
raphael,6.0
reach,2.0
read,5.0
reader,1.0
ready,4.0
real,4.0
realise,4.0
realize,3.0
really,4.0
recamier,2.0
receive,1.0
recent,4.0
recently,4.0
recognise,1.0
recognition,4.0
recommend,8.0
record,1.0
recruiting,2.0
recruitment,2.0
refer,2.0
regard,10.0
regression,1.0
reinforce,4.0
relate,24.0
relationship,1.0
release,1.0
remain,4.0
remarkable,4.0
render,1.0
rental,2.0
require,4.0
requirement,1.0
research,2.0
respect,2.0
respective,4.0
responsibility,5.0
rest,1.0
result,2.0
resume,2.0
retail,14.0
return,1.0
review,6.0
rewarding,4.0
right,5.0
risk,2.0
rnns,2.0
roadblock,1.0
robot,104.0
role,12.0
route,1.0
rue,4.0
sabbatical,2.0
safe,1.0
sale,6.0
saving,3.0
say,2.0
scenario,6.0
schedule,12.0
school,6.0
science,12.0
scientific,4.0
scientist,2.0
score,4.0
sec,82.0
second,51.0
sector,1.0
secure,3.0
security,3.0
seek,7.0
select,1.0
selective,4.0
selenium,1.0
self,13.0
semester,68.0
september,8.0
series,2.0
serve,1.0
service,6.0
set,14.0
share,7.0
sharp,1.0
shopper,1.0
short,2.0
show,22.0
showcase,2.0
side,2.0
similar,1.0
since,25.0
sincerely,8.0
sir,6.0
sit,2.0
situation,2.0
six,4.0
sixth,2.0
skill,15.0
skilled,12.0
smile,18.0
smoke,1.0
soccer,18.0
societe,4.0
software,4.0
solution,3.0
someone,2.0
something,1.0
sorry,2.0
sound,2.0
space,15.0
speak,16.0
speaker,2.0
special,2.0
specific,5.0
spend,1.0
sql,2.0
staff,12.0
stage,2.0
standard,4.0
start,5.0
startup,1.0
state,20.0
statistic,6.0
stay,1.0
step,4.0
stimulating,2.0
store,12.0
story,1.0
strasbourg,2.0
strength,1.0
strengthen,4.0
strong,5.0
strongly,2.0
student,106.0
study,26.0
successfully,63.0
suffer,1.0
suggestion,3.0
summary,4.0
summer,12.0
sure,1.0
svm,2.0
switzerland,2.0
synergy,4.0
synonymous,2.0
system,18.0
tackle,3.0
take,31.0
talented,4.0
task,2.0
taste,4.0
teach,8.0
team,95.0
technical,4.0
technicality,4.0
technique,3.0
technology,2.0
telecom,9.0
telecommunication,1.0
template,1.0
ten,36.0
tensorflow,2.0
term,4.0
test,5.0
testing,5.0
testng,1.0
text,6.0
thank,41.0
thanks,4.0
theory,2.0
therefore,8.0
thing,3.0
think,10.0
thorough,1.0
thouly,4.0
three,5.0
thrill,4.0
thrive,1.0
throughout,4.0
thus,6.0
time,80.0
together,30.0
ton,1.0
tone,18.0
tool,3.0
top,17.0
topic,2.0
totally,50.0
towards,12.0
trade,4.0
trading,12.0
transaction,4.0
travel,4.0
two,1.0
u,6.0
umm,101.0
unanswered,2.0
understand,1.0
understanding,1.0
unique,1.0
united,2.0
university,14.0
upon,2.0
use,14.0
user,1.0
utmost,4.0
utram,1.0
v,2.0
valuable,4.0
value,9.0
vast,2.0
vaudoise,4.0
veamly,2.0
verification,1.0
verify,1.0
video,3.0
vigilant,1.0
violin,4.0
vision,10.0
visit,4.0
vivadata,2.0
voice,18.0
volume,12.0
wanago,2.0
want,4.0
warehousing,3.0
way,6.0
web,1.0
webdriver,1.0
week,19.0
welcome,2.0
well,13.0
whenever,1.0
willing,4.0
within,3.0
wonderful,18.0
word,2.0
work,172.0
working,2.0
world,3.0
worst,1.0
would,19.0
wow,1.0
write,12.0
x,3.0
xyz,12.0
year,56.0
york,4.0
youabout,1.0
young,4.0
